"","Education","Marital_Status","Income","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Kids","Relationship","Family_Size","Family_size","Age","Days_is_client","MntTotal","NumAllPurchases","AverageCheck","ShareDealsPurchases","TotalAcceptedCmp","ActiveDays"
"1069","2n Cycle","Divorced",64176,52,1215,33,249,64,116,149,8,8,9,8,6,"False","False","False","False","False","False","False",1,0,0,2,59,734612,1826,25,73,32,0,734560
"1070","Graduation","Divorced",22304,91,3,2,7,0,4,2,1,1,0,2,8,"False","False","False","False","False","False","False",0,0,0,1,68,734246,18,3,6,33.3,0,734155
"1071","Graduation","Married",67023,93,444,44,382,11,8,17,1,3,7,13,2,"False","False","False","False","False","True","False",0,1,0,2,46,734399,906,23,39.4,4.3,0,734306
"1072","PhD","Together",32892,78,26,0,15,2,1,2,2,3,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,53,726668,46,6,7.7,33.3,0,726590
"1073","Graduation","Together",70713,23,736,114,279,82,76,190,6,5,6,8,3,"False","False","False","False","False","False","False",1,1,0,3,58,734490,1477,19,77.7,31.6,0,734467
"1074","Graduation","Together",59925,83,473,21,176,19,21,56,3,9,2,9,6,"False","False","False","False","False","False","False",1,1,0,3,69,724658,766,20,38.3,15,0,724575
"1075","Graduation","Married",39722,92,32,0,5,2,0,8,2,2,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,71,727123,47,5,9.4,40,0,727031
"1076","Graduation","Together",46610,4,288,10,30,4,10,125,1,6,1,6,6,"False","False","False","False","False","False","False",0,1,0,2,66,729164,467,13,35.9,7.7,0,729160
"1077","Graduation","Together",88347,32,1050,178,555,77,138,118,1,4,7,9,1,"False","False","False","True","False","False","False",0,1,0,2,63,734643,2116,20,105.8,5,1,734611
"1078","PhD","Married",87171,27,1001,44,107,58,44,44,1,6,7,11,2,"True","False","True","False","False","False","False",0,1,0,2,43,735434,1298,24,54.1,4.2,2,735407
"1079","2n Cycle","Together",26907,10,9,1,7,0,3,2,2,1,0,3,7,"False","False","False","False","False","False","False",2,1,0,4,48,728402,22,4,5.5,50,0,728392
"1080","Master","Single",50014,9,234,14,77,19,10,42,2,4,1,8,5,"False","False","False","False","False","False","False",1,0,0,2,56,727884,396,13,30.5,15.4,0,727875
"1081","PhD","Married",41014,65,7,2,6,2,0,3,1,1,0,2,7,"False","False","False","False","False","False","False",1,1,0,3,46,727794,20,3,6.7,33.3,0,727729
"1082","Graduation","Single",66294,68,251,108,334,65,92,117,1,4,3,5,2,"False","False","False","False","False","False","False",0,0,0,1,59,729651,967,12,80.6,8.3,0,729583
"1083","Graduation","Married",36715,16,172,10,125,21,13,16,6,7,2,4,9,"False","False","False","False","False","False","True",1,1,0,3,53,729406,357,13,27.5,46.2,1,729390
"1084","Graduation","Married",79456,12,565,42,548,64,83,99,1,5,6,4,3,"False","False","False","False","False","False","True",0,1,0,2,68,727672,1401,15,93.4,6.7,1,727660
"1085","Graduation","Together",40479,95,5,0,8,2,0,0,1,0,0,3,4,"False","False","False","False","False","False","False",1,1,0,3,42,729498,15,3,5,33.3,0,729403
"1086","Master","Single",75345,16,918,57,842,99,38,133,1,5,8,6,3,"False","False","False","True","False","False","True",0,0,0,1,54,735158,2087,19,109.8,5.3,2,735142
"1087","Graduation","Married",54233,46,652,8,158,21,0,142,4,11,6,5,8,"False","False","False","False","False","False","False",1,1,0,3,47,734428,981,22,44.6,18.2,0,734382
"1088","Graduation","Single",24163,3,4,1,7,2,1,2,2,1,0,3,4,"False","False","False","False","False","False","False",2,0,0,3,54,731263,17,4,4.2,50,0,731260
"1089","PhD","Together",84460,80,152,27,103,106,54,81,0,9,9,4,5,"False","True","True","True","True","False","True",0,1,0,2,66,734459,523,22,23.8,0,5,734379
"1090","Graduation","Together",43776,77,8,0,9,2,1,3,1,1,0,2,6,"False","False","False","False","False","False","False",1,1,0,3,41,734704,23,3,7.7,33.3,0,734627
"1091","PhD","Single",71691,0,336,130,411,240,32,43,1,4,7,5,2,"False","False","False","False","False","False","True",0,0,0,1,66,729651,1192,16,74.5,6.2,1,729651
"1092","PhD","Married",85844,62,938,19,843,25,95,38,1,6,6,7,2,"False","False","True","False","False","False","False",0,1,0,2,51,725207,1958,19,103.1,5.3,1,725145
"1093","PhD","Single",39190,91,68,8,18,19,8,12,2,2,1,4,5,"False","False","False","False","False","False","False",1,0,0,2,50,726333,133,7,19,28.6,0,726242
"1094","Graduation","Together",71367,24,227,23,389,42,21,75,1,4,5,7,2,"False","False","False","False","False","False","False",0,1,0,2,65,727307,777,16,48.6,6.2,0,727283
"1095","PhD","Single",38578,2,38,4,22,3,3,3,3,3,0,3,8,"False","False","False","False","False","False","False",2,0,0,3,52,727733,73,6,12.2,50,0,727731
"1096","PhD","Married",57236,22,105,0,9,2,1,4,3,2,1,4,3,"False","False","False","False","False","False","False",2,1,0,4,59,731477,121,7,17.3,42.9,0,731455
"1097","Graduation","Single",61825,56,162,50,100,55,30,27,1,4,2,8,4,"False","False","False","False","False","False","False",1,0,0,2,45,733151,424,14,30.3,7.1,0,733095
"1098","Graduation","Divorced",79803,54,574,8,216,21,16,33,1,4,3,5,1,"False","False","False","False","False","False","False",1,0,0,2,66,735038,868,12,72.3,8.3,0,734984
"1099","2n Cycle","Single",80910,71,160,80,369,67,39,41,1,3,3,8,1,"False","False","False","False","False","False","False",0,0,0,1,38,724324,756,14,54,7.1,0,724253
"1100","Master","Together",27590,38,6,0,5,0,0,1,1,1,0,2,7,"False","False","False","False","False","False","False",1,1,0,3,42,727429,12,3,4,33.3,0,727391
"1101","Graduation","Married",56775,62,614,35,160,58,35,35,2,5,8,10,5,"False","False","False","False","False","False","False",1,1,0,3,45,735189,937,23,40.7,8.7,0,735127
"1102","Graduation","Divorced",83829,78,897,161,430,186,161,27,0,4,7,6,1,"True","False","True","True","False","False","True",0,0,0,1,49,732724,1862,17,109.5,0,4,732646
"1103","2n Cycle","Married",54210,18,70,54,109,80,9,45,2,4,1,7,5,"False","False","False","False","False","False","False",1,1,0,3,45,728494,367,12,30.6,16.7,0,728476
"1104","Graduation","Married",38508,95,120,19,206,25,19,54,6,7,2,5,8,"False","False","False","False","False","False","False",1,1,0,3,38,734977,443,14,31.6,42.9,0,734882
"1105","Graduation","Together",53187,66,211,2,30,7,7,10,2,4,1,6,5,"False","False","False","False","False","False","False",1,1,0,3,54,726150,267,11,24.3,18.2,0,726084
"1106","Graduation","Married",30023,28,11,0,16,7,6,21,1,2,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,52,727094,61,5,12.2,20,0,727066
"1107","PhD","Single",76045,78,760,53,400,17,93,0,1,4,5,11,2,"False","False","False","True","False","False","False",0,0,0,1,64,730137,1323,20,66.2,5,1,730059
"1108","PhD","Married",50870,13,53,0,8,0,0,2,1,2,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,72,728829,63,5,12.6,20,0,728816
"1109","2n Cycle","Married",15315,27,7,4,13,15,8,17,2,2,0,4,5,"False","False","False","False","False","False","False",0,1,0,2,54,734612,64,6,10.7,33.3,0,734585
"1110","2n Cycle","Married",65463,17,391,32,70,21,32,16,2,6,2,9,5,"False","True","False","False","False","False","False",1,1,0,3,50,724962,562,17,33.1,11.8,1,724945
"1111","Graduation","Married",66480,71,199,9,57,20,21,6,7,4,1,7,4,"False","False","False","False","False","False","False",2,1,0,4,59,724477,312,12,26,58.3,0,724406
"1112","Graduation","Divorced",76773,79,516,56,449,86,33,16,1,2,2,11,1,"False","False","False","False","False","False","False",0,0,0,1,70,726757,1156,15,77.1,6.7,0,726678
"1113","2n Cycle","Single",81698,1,709,45,115,30,160,45,1,8,2,5,5,"False","False","False","True","False","False","True",0,0,0,1,41,735495,1104,15,73.6,6.7,2,735494
"1114","PhD","Single",54466,78,12,0,4,0,0,0,1,1,0,2,5,"False","False","False","False","False","False","False",2,0,0,3,51,732601,16,3,5.3,33.3,0,732523
"1115","Master","Single",98777,23,1000,19,711,125,115,38,0,4,6,9,1,"False","True","False","False","False","False","False",0,0,0,1,64,729679,2008,19,105.7,0,1,729656
"1116","PhD","Single",16269,75,19,3,18,3,1,0,3,3,0,3,8,"False","False","False","False","False","False","False",1,0,0,2,40,724750,44,6,7.3,50,0,724675
"1117","Graduation","Together",71819,70,1224,28,140,0,14,168,3,3,3,5,6,"False","True","True","False","False","False","False",1,1,0,3,53,725480,1574,11,143.1,27.3,2,725410
"1118","PhD","Married",33569,10,16,2,18,3,0,24,1,1,1,2,8,"True","False","False","False","False","False","True",1,1,0,3,41,729802,63,4,15.8,25,2,729792
"1119","Master","Married",36262,24,88,39,54,64,28,153,1,3,5,3,6,"True","False","False","False","False","False","True",0,1,0,2,41,728371,426,11,38.7,9.1,2,728347
"1120","Basic","Together",22634,47,2,23,11,8,6,46,1,2,1,2,8,"False","False","False","False","False","False","False",0,1,0,2,58,730076,96,5,19.2,20,0,730029
"1121","2n Cycle","Married",47025,98,508,11,59,23,5,29,5,11,1,6,9,"False","False","False","False","False","False","False",1,1,0,3,46,731293,635,18,35.3,27.8,0,731195
"1122","Graduation","Single",70566,4,381,28,215,84,28,21,2,6,5,9,3,"False","False","False","False","False","False","False",1,0,0,2,56,733455,757,20,37.9,10,0,733451
"1123","PhD","Married",31605,15,74,0,42,2,1,6,2,2,1,4,7,"False","False","False","False","False","False","False",1,1,0,3,45,727580,125,7,17.9,28.6,0,727565
"1124","Master","Divorced",52034,67,146,0,93,7,13,73,5,4,2,5,7,"False","False","False","False","False","False","False",2,0,0,3,51,729590,332,11,30.2,45.5,0,729523
"1125","Graduation","Single",48526,32,23,17,23,43,20,9,1,2,1,4,3,"False","False","False","False","False","False","False",1,0,0,2,45,726819,135,7,19.3,14.3,0,726787
"1126","Graduation","Married",46734,40,110,5,137,26,23,29,2,6,1,5,7,"False","False","False","False","False","False","False",1,1,0,3,70,729041,330,12,27.5,16.7,0,729001
"1127","Graduation","Divorced",39552,54,165,3,147,4,24,41,7,6,2,5,8,"False","False","False","False","False","False","True",2,0,0,3,62,729011,384,13,29.5,53.8,1,728957
"1128","Graduation","Single",86358,78,957,47,494,82,47,95,4,5,3,6,8,"False","False","False","False","False","False","False",2,0,0,3,58,732785,1722,14,123,28.6,0,732707
"1129","Graduation","Together",46931,94,41,0,17,3,1,16,2,1,1,3,3,"False","False","False","False","False","False","False",3,1,0,5,47,727063,78,5,15.6,40,0,726969
"1130","Basic","Single",16581,51,1,3,4,2,3,11,1,0,0,3,4,"False","False","False","False","False","False","False",0,0,0,1,39,731537,24,3,8,33.3,0,731486
"1131","2n Cycle","Divorced",63998,42,176,29,818,0,33,112,1,7,6,11,4,"False","False","False","False","False","False","True",0,0,0,1,72,728280,1168,24,48.7,4.2,1,728238
"1132","Master","Married",67381,67,815,8,53,11,0,70,4,2,2,9,7,"False","True","False","False","False","False","False",1,1,0,3,73,730441,957,13,73.6,30.8,1,730374
"1133","Graduation","Single",25930,87,6,1,2,2,0,4,1,1,0,2,7,"False","False","False","False","False","False","False",2,0,0,3,57,731994,15,3,5,33.3,0,731907
"1134","Graduation","Married",42693,29,8,4,20,6,3,16,1,1,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,46,733212,57,4,14.2,25,0,733183
"1135","Graduation","Together",85606,89,717,42,864,219,30,84,2,6,7,9,3,"False","False","False","True","False","False","False",1,1,0,3,48,731232,1956,22,88.9,9.1,1,731143
"1136","Graduation","Single",72903,74,1067,138,750,0,19,39,1,7,5,8,4,"False","True","True","True","False","False","True",0,0,0,1,39,725054,2013,20,100.7,5,4,724980
"1137","2n Cycle","Together",49669,97,166,5,107,11,8,29,2,5,1,6,6,"False","False","False","False","False","False","False",1,1,0,3,50,727033,326,12,27.2,16.7,0,726936
"1138","PhD","Married",36778,63,29,4,34,2,4,4,3,3,0,3,9,"False","False","False","False","False","False","False",2,1,0,4,56,733881,77,6,12.8,50,0,733818
"1139","PhD","Divorced",85696,88,714,76,395,116,0,12,1,4,6,9,1,"False","False","False","False","False","False","True",0,0,0,1,62,734704,1313,19,69.1,5.3,1,734616
"1140","Master","Divorced",10979,34,8,4,10,2,2,4,2,3,0,3,5,"False","False","False","False","False","False","False",0,0,0,1,35,727764,30,6,5,33.3,0,727730
"1141","Graduation","Married",49678,81,229,5,56,3,2,20,2,6,2,4,7,"False","False","False","False","False","False","False",1,1,0,3,63,735158,315,12,26.2,16.7,0,735077
"1142","Master","Together",56129,65,320,48,133,39,72,48,4,6,2,10,4,"False","False","False","False","False","False","False",1,1,0,3,71,728463,660,18,36.7,22.2,0,728398
"1143","Graduation","Married",37155,51,23,0,26,7,15,3,1,2,0,4,5,"False","False","False","False","False","False","False",1,1,0,3,35,724597,74,6,12.3,16.7,0,724546
"1144","2n Cycle","Divorced",21282,76,1,5,8,4,8,20,2,2,1,2,6,"False","False","False","False","False","False","False",1,0,0,2,46,731782,46,5,9.2,40,0,731706
"1145","PhD","Single",33419,76,56,0,12,0,0,18,2,2,0,4,7,"False","False","False","False","False","False","False",1,0,0,2,62,729498,86,6,14.3,33.3,0,729422
"1146","Graduation","Widow",63285,84,508,124,249,50,38,134,1,6,5,13,3,"False","False","False","False","False","False","False",0,0,0,1,79,733789,1103,24,46,4.2,0,733705
"1147","Master","Together",21255,56,29,0,25,2,2,3,4,2,1,4,4,"False","False","False","False","False","False","False",1,1,0,3,50,728249,61,7,8.7,57.1,0,728193
"1148","Graduation","Together",42162,31,46,7,59,2,4,27,2,3,1,3,6,"True","False","False","False","False","False","True",1,1,0,3,43,728676,145,7,20.7,28.6,2,728645
"1149","Graduation","Together",54450,0,454,0,171,8,19,32,12,9,2,8,8,"False","False","False","False","False","False","False",2,1,0,4,68,730563,684,19,36,63.2,0,730563
"1150","PhD","Married",57744,91,350,3,39,0,0,19,2,9,1,4,8,"False","False","False","False","False","False","False",1,1,0,3,70,731232,411,14,29.4,14.3,0,731141
"1151","Graduation","Single",26576,40,10,0,8,0,0,9,1,1,0,2,9,"True","False","False","False","False","False","True",1,0,0,2,38,730898,27,3,9,33.3,2,730858
"1152","PhD","Widow",57513,59,735,40,183,52,20,30,2,9,3,13,6,"False","False","False","False","False","False","False",0,0,0,1,81,733547,1060,25,42.4,8,0,733488
"1153","Graduation","Together",68142,96,897,126,196,91,112,37,3,10,4,7,6,"False","False","False","False","False","False","False",1,1,0,3,60,725115,1459,21,69.5,14.3,0,725019
"1154","Graduation","Married",7500,61,5,2,3,3,0,5,1,1,0,2,8,"False","False","False","False","False","False","False",1,1,0,3,45,725115,18,3,6,33.3,0,725054
"1155","Graduation","Together",83145,14,777,35,731,39,137,114,1,5,9,11,2,"False","False","True","False","False","False","True",0,1,0,2,50,727641,1833,25,73.3,4,2,727627
"1156","Master","Married",54197,16,162,6,37,6,13,13,2,1,3,6,1,"False","False","False","False","False","False","False",1,1,0,3,64,734734,237,10,23.7,20,0,734718
"1157","PhD","Single",23091,98,35,0,11,0,0,2,4,2,1,3,7,"False","False","False","False","False","False","False",2,0,0,3,61,725572,48,6,8,66.7,0,725474
"1158","Graduation","Married",46049,11,342,9,112,19,14,19,10,5,2,9,7,"False","False","False","False","False","False","True",2,1,0,4,48,728068,515,16,32.2,62.5,1,728057
"1159","Graduation","Together",56715,52,258,105,239,237,172,9,1,7,3,4,4,"False","False","False","False","False","False","False",0,1,0,2,50,733759,1020,14,72.9,7.1,0,733707
"1160","Graduation","Married",79410,19,658,80,483,123,13,13,1,3,2,5,1,"False","False","False","False","False","False","False",0,1,0,2,63,725207,1370,10,137,10,0,725188
"1161","Graduation","Married",57304,61,356,80,329,138,17,106,2,7,6,10,5,"False","False","False","False","False","False","False",1,1,0,3,73,731843,1026,23,44.6,8.7,0,731782
"1162","Graduation","Married",44375,73,213,5,28,7,7,41,1,4,1,6,5,"False","False","False","False","False","False","False",1,1,0,3,59,727460,301,11,27.4,9.1,0,727387
"1163","Graduation","Together",54450,0,454,0,171,8,19,32,12,9,2,8,8,"False","False","False","False","False","False","False",2,1,0,4,68,730563,684,19,36,63.2,0,730563
"1164","Graduation","Married",59594,74,457,4,29,0,0,9,1,8,1,7,7,"False","True","False","False","False","False","False",1,1,0,3,59,728341,499,16,31.2,6.2,1,728267
"1165","Graduation","Together",80685,55,241,45,604,34,26,54,1,6,4,10,2,"False","False","False","False","False","False","False",0,1,0,2,30,727672,1004,20,50.2,5,0,727617
"1166","PhD","Married",40344,48,210,0,6,0,0,2,2,4,1,5,7,"False","False","False","False","False","False","False",1,1,0,3,50,730898,218,10,21.8,20,0,730850
"1167","Graduation","Married",62710,53,441,35,83,7,29,11,4,4,2,12,4,"False","False","False","False","False","False","False",1,1,0,3,52,727399,606,18,33.7,22.2,0,727346
"1168","2n Cycle","Married",48985,13,19,13,18,10,7,8,1,1,1,3,3,"False","False","False","False","False","False","False",1,1,0,3,56,733912,75,5,15,20,0,733899
"1169","Graduation","Together",35322,34,28,9,37,12,7,13,3,2,0,4,8,"False","False","False","False","False","False","False",3,1,0,5,56,727672,106,6,17.7,50,0,727638
"1170","Graduation","Married",77142,54,476,75,162,29,151,97,1,4,4,8,2,"False","False","False","False","False","False","False",0,1,0,2,76,725207,990,16,61.9,6.2,0,725153
"1171","Graduation","Single",81657,69,364,40,425,158,60,50,1,3,4,8,1,"False","False","False","False","False","False","False",0,0,0,1,55,727884,1097,15,73.1,6.7,0,727815
"1172","Basic","Married",14421,81,0,0,2,3,3,8,1,1,0,2,5,"True","False","False","False","False","False","False",0,1,0,2,28,729679,16,3,5.3,33.3,1,729598
"1173","2n Cycle","Married",20130,99,0,6,3,7,6,12,1,1,0,3,8,"False","False","False","False","False","False","False",0,1,0,2,50,729651,34,4,8.5,25,0,729552
"1174","PhD","Married",74214,3,863,83,547,86,99,33,1,8,2,5,5,"False","False","False","False","False","False","False",0,1,0,2,34,726211,1711,15,114.1,6.7,0,726208
"1175","Master","Married",66726,61,349,7,35,0,0,47,3,8,2,4,7,"False","True","False","False","False","False","False",2,1,0,4,67,731537,438,14,31.3,21.4,1,731476
"1176","Basic","Together",23724,65,5,23,15,0,18,14,2,2,0,3,8,"False","False","False","False","False","False","False",1,1,0,3,45,732998,75,5,15,40,0,732933
"1177","Master","Married",47353,93,184,2,19,8,8,4,3,2,2,6,5,"False","False","False","False","False","False","False",1,1,0,3,64,730867,225,10,22.5,30,0,730774
"1178","Master","Married",33444,24,8,0,8,0,0,2,1,1,0,2,8,"False","False","False","False","False","False","False",2,1,0,4,72,734520,18,3,6,33.3,0,734496
"1179","Graduation","Married",54386,8,277,21,64,62,21,25,2,3,2,10,3,"False","False","False","False","False","False","False",1,1,0,3,43,729590,470,15,31.3,13.3,0,729582
"1180","Graduation","Divorced",28510,72,44,5,19,0,4,19,3,2,0,4,5,"False","False","False","False","False","False","False",2,0,0,3,43,731081,91,6,15.2,50,0,731009
"1181","Master","Single",90638,29,1156,120,915,94,144,96,1,3,4,10,1,"False","False","True","False","False","False","False",0,0,0,1,33,731140,2525,17,148.5,5.9,1,731111
"1182","Graduation","Together",48070,33,373,14,83,6,9,19,3,8,2,6,7,"False","False","False","False","False","True","False",1,1,0,3,74,731171,504,16,31.5,18.8,0,731138
"1183","Graduation","Married",43140,68,134,8,76,6,0,11,1,4,1,5,6,"False","False","False","False","False","False","False",1,1,0,3,67,734093,235,10,23.5,10,0,734025
"1184","PhD","Divorced",54959,55,1148,0,60,0,0,24,3,9,5,4,7,"False","True","False","False","False","False","True",1,0,0,2,63,728980,1232,18,68.4,16.7,2,728925
"1185","Basic","Single",15056,76,6,12,3,21,6,40,5,2,2,3,5,"False","False","False","False","False","False","False",2,0,0,3,66,734704,88,7,12.6,71.4,0,734628
"1186","Graduation","Single",26954,17,4,1,11,0,0,1,1,1,0,2,7,"False","False","False","False","False","False","False",1,0,0,2,53,732877,17,3,5.7,33.3,0,732860
"1187","Graduation","Single",22327,94,5,4,8,2,0,5,1,1,0,3,5,"False","False","False","False","False","False","False",1,0,0,2,39,734977,24,4,6,25,0,734883
"1188","Graduation","Married",44393,86,24,2,20,2,2,10,2,1,0,4,4,"False","False","False","False","False","False","False",2,1,0,4,59,727672,60,5,12,40,0,727586
"1189","PhD","Single",62000,25,899,0,101,0,0,20,1,6,6,13,4,"False","False","False","True","False","False","False",1,0,0,2,72,726576,1020,25,40.8,4,1,726551
"1190","PhD","Together",31497,22,108,1,28,13,1,4,2,3,1,4,8,"False","False","False","False","False","False","False",1,1,0,3,62,733394,155,8,19.4,25,0,733372
"1191","2n Cycle","Married",45894,15,27,2,7,0,2,13,1,1,0,3,5,"False","False","False","False","False","False","False",2,1,0,4,50,726027,51,4,12.8,25,0,726012
"1192","Master","Divorced",78579,35,816,66,549,216,66,99,1,5,6,4,3,"False","False","False","False","False","False","True",0,0,0,1,54,727550,1812,15,120.8,6.7,1,727515
"1193","Master","Widow",67369,81,1298,0,70,37,14,42,4,7,4,10,4,"False","True","True","False","False","False","True",1,0,0,2,55,729406,1461,21,69.6,19,3,729325
"1194","Graduation","Divorced",58401,55,10,0,11,17,29,29,1,1,2,2,4,"False","False","False","False","False","False","False",1,0,0,2,64,728524,96,5,19.2,20,0,728469
"1195","Graduation","Single",62307,94,87,13,34,10,6,10,1,4,0,4,5,"False","False","False","False","False","False","False",1,0,0,2,72,729679,160,8,20,12.5,0,729585
"1196","Master","Married",43641,50,57,2,51,4,2,23,3,2,1,4,6,"False","False","False","False","False","False","False",2,1,0,4,55,727794,139,7,19.9,42.9,0,727744
"1197","Master","Divorced",63841,64,635,15,100,20,7,131,1,9,3,9,6,"False","False","False","False","False","False","False",1,0,0,2,56,728159,908,21,43.2,4.8,0,728095
"1198","2n Cycle","Married",46891,91,43,12,23,29,15,61,1,2,1,4,4,"False","False","False","False","False","False","False",1,1,0,3,59,735311,183,7,26.1,14.3,0,735220
"1199","Master","Married",70091,11,964,34,137,15,0,11,2,5,2,10,8,"False","True","False","False","False","False","False",1,1,0,3,55,724538,1161,17,68.3,11.8,1,724527
"1200","PhD","Married",78075,72,572,8,259,34,35,80,1,3,5,5,1,"False","False","False","False","False","False","False",0,1,0,2,52,734003,988,13,76,7.7,0,733931
"1201","2n Cycle","Widow",59184,6,341,142,113,259,151,66,3,6,6,12,5,"False","False","False","False","False","False","False",1,0,0,2,63,732389,1072,24,44.7,12.5,0,732383
"1202","Graduation","Married",54809,0,63,6,57,13,13,22,4,2,1,5,4,"False","False","False","False","False","False","False",2,1,0,4,47,731659,174,8,21.8,50,0,731659
"1203","Graduation","Married",58113,66,221,104,169,102,78,84,3,9,2,8,7,"False","False","False","False","False","True","False",1,1,0,3,65,726788,758,19,39.9,15.8,0,726722
"1204","Master","Married",51412,42,140,3,29,4,5,14,2,3,2,4,4,"False","False","False","False","False","False","False",1,1,0,3,66,724263,195,9,21.7,22.2,0,724221
"1205","Graduation","Divorced",15287,60,1,2,8,4,3,13,2,1,1,2,7,"True","False","False","False","False","False","True",1,0,0,2,45,731994,31,4,7.8,50,2,731934
"1206","Master","Together",66636,64,291,10,689,84,10,0,1,3,4,9,1,"False","False","False","False","False","False","False",0,1,0,2,67,729498,1084,16,67.8,6.2,0,729434
"1207","Master","Married",50965,87,544,13,85,8,6,29,3,10,4,5,8,"True","False","False","False","False","False","False",1,1,0,3,68,728584,685,19,36.1,15.8,1,728497
"1208","PhD","Married",84618,96,684,100,801,21,66,0,1,6,9,10,2,"False","False","True","False","False","False","False",0,1,0,2,59,727580,1672,25,66.9,4,1,727484
"1209","Graduation","Married",18351,1,1,12,9,0,14,7,1,2,0,3,7,"False","False","False","False","False","False","False",0,1,0,2,34,725054,43,5,8.6,20,0,725053
"1210","PhD","Together",40451,54,35,0,4,0,0,10,1,1,1,2,5,"True","False","False","False","False","False","False",2,1,0,4,67,730045,49,4,12.2,25,1,729991
"1211","Graduation","Together",36317,53,87,3,25,3,2,13,2,3,0,4,7,"False","False","False","False","False","False","False",1,1,0,3,59,727764,133,7,19,28.6,0,727711
"1212","Graduation","Together",42213,96,309,3,24,4,3,20,2,5,1,7,7,"False","True","False","False","False","False","False",1,1,0,3,67,731263,363,13,27.9,15.4,1,731167
"1213","Graduation","Together",65748,58,172,73,93,95,78,34,2,2,4,10,1,"False","False","False","False","False","True","False",1,1,0,3,69,730351,545,16,34.1,12.5,0,730293
"1214","Graduation","Together",77044,12,625,38,242,50,34,76,2,7,11,11,4,"True","False","False","False","False","False","False",1,1,0,3,52,725785,1065,29,36.7,6.9,1,725773
"1215","Graduation","Together",74918,78,972,59,913,25,19,59,1,5,9,6,3,"False","False","True","False","False","False","False",0,1,0,2,55,731477,2047,20,102.3,5,1,731399
"1216","Graduation","Married",56721,64,157,6,39,6,13,75,5,4,1,5,6,"False","False","False","False","False","False","False",2,1,0,4,52,724324,296,10,29.6,50,0,724260
"1217","Graduation","Single",42160,26,48,9,45,3,15,20,4,2,1,4,6,"False","False","False","False","False","False","True",2,0,0,3,49,725541,140,7,20,57.1,1,725515
"1218","Graduation","Single",61559,8,279,83,88,32,14,34,1,4,2,10,3,"False","False","False","False","False","False","False",1,0,0,2,59,729529,530,16,33.1,6.2,0,729521
"1219","PhD","Together",33629,49,132,0,16,0,0,4,5,3,1,4,9,"False","False","False","False","False","False","False",2,1,0,4,61,732785,152,8,19,62.5,0,732736
"1220","PhD","Together",68682,56,919,0,505,99,30,45,1,4,9,10,2,"False","False","False","False","False","False","False",0,1,0,2,33,733455,1598,23,69.5,4.3,0,733399
"1221","Graduation","Single",34377,55,62,0,22,3,1,26,2,2,2,2,7,"False","False","False","False","False","False","False",1,0,0,2,61,728980,114,6,19,33.3,0,728925
"1222","Basic","Single",8940,25,1,45,3,4,6,42,3,3,1,3,8,"False","False","False","False","False","False","False",1,0,0,2,38,727672,101,7,14.4,42.9,0,727647
"1223","Graduation","Married",26228,50,2,6,4,3,1,9,1,1,0,2,8,"False","False","False","False","False","False","False",1,1,0,3,51,727641,25,3,8.3,33.3,0,727591
"1224","2n Cycle","Divorced",77297,84,408,61,109,48,122,41,1,5,7,9,4,"False","False","False","True","False","False","False",0,0,0,1,67,726423,789,21,37.6,4.8,1,726339
"1225","Graduation","Married",40211,30,51,1,7,2,1,25,2,2,1,2,8,"True","False","False","False","False","False","False",2,1,0,4,43,724781,87,5,17.4,40,1,724751
"1226","PhD","Widow",33438,81,62,1,16,3,2,6,4,2,1,4,5,"False","False","False","False","False","False","False",2,0,0,3,66,727641,90,7,12.9,57.1,0,727560
"1227","PhD","Married",75032,74,952,12,180,47,12,12,2,5,4,9,3,"False","False","False","False","False","False","False",1,1,0,3,65,725602,1215,18,67.5,11.1,0,725528
"1228","PhD","Single",61284,76,618,15,106,20,7,45,1,11,2,8,6,"False","True","False","False","False","False","False",0,0,0,1,69,731263,811,21,38.6,4.8,1,731187
"1229","Graduation","Married",22518,36,11,7,12,2,2,27,2,2,1,2,5,"True","False","False","False","False","False","True",1,1,0,3,38,727611,61,5,12.2,40,2,727575
"1230","Master","Married",54730,64,318,3,17,4,7,56,5,4,1,8,4,"False","False","False","False","False","False","False",1,1,0,3,49,730229,405,13,31.2,38.5,0,730165
"1231","Master","Married",38452,62,56,0,14,0,0,2,3,3,0,3,7,"False","False","False","False","False","False","False",2,1,0,4,69,724903,72,6,12,50,0,724841
"1232","Graduation","Divorced",44421,53,110,5,59,7,1,7,5,5,0,4,8,"False","False","False","False","False","False","False",2,0,0,3,53,730410,189,9,21,55.6,0,730357
"1233","PhD","Together",38197,86,23,0,11,2,1,3,1,1,0,3,5,"False","False","False","False","False","False","False",1,1,0,3,38,725176,40,4,10,25,0,725090
